split,protocol,group,method,train_epochs,successes,success_count,eval_episodes,avg_len,delta_vs_positive
404,first20,baseline,positive_only_nn_top40,,17/20,17,20,148.2,0
404,first20,candidate_v_anchor_logprob,model_epoch_5,5,15/20,15,20,180.6,-2
404,first20,candidate_v_anchor_logprob,model_epoch_10,10,18/20,18,20,135.6,1
404,first20,candidate_v_anchor_logprob,model_epoch_15,15,15/20,15,20,179.1,-2
404,first20,candidate_v_anchor_logprob,model_epoch_20,20,16/20,16,20,164.2,-1
404,eval50,baseline,positive_only_nn_top40,,39/50,39,50,169.3,0
404,eval50,baseline,weighted_bc_full_pool,,33/50,33,50,208.9,-6
404,eval50,router_reference,candidate_e_initial_gate_weighted_e200,,46/50,46,50,130.3,7
404,eval50,candidate_v_anchor_logprob,model_epoch_10,10,39/50,39,50,170.2,0
505,first20,baseline,positive_only_nn_top40,,15/20,15,20,,0
505,first20,baseline,weighted_bc_full_pool,,12/20,12,20,,-3
505,first20,router_reference,candidate_e_initial_gate_weighted_e200,,16/20,16,20,,1
505,first20,candidate_v_anchor_logprob,model_epoch_10,10,16/20,16,20,170.2,1
505,eval50,baseline,positive_only_nn_top40,,40/50,40,50,,0
505,eval50,baseline,weighted_bc_full_pool,,30/50,30,50,,-10
505,eval50,router_reference,candidate_e_initial_gate_weighted_e200,,39/50,39,50,,-1
505,eval50,candidate_v_anchor_logprob,model_epoch_10,10,38/50,38,50,180.4,-2
