split_seed,method_id,method_role,endpoint_success,success_count,eval_episodes,avg_len,train_demo_count,selected_unlabeled,checkpoint,metrics_path
101,weighted_bc,v02_selected,0.620,31,50,90.8,1430,1420,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split101_weighted_bc_policy0/train_weighted_sampler/lift_mg_mg_sparse_split101_weighted_bc_policy0_official_bc_rnn_weighted_sampler/20260625102726/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split101_weighted_bc_policy0/eval/metrics.csv
101,positive_only_nn,strong_baseline,0.560,28,50,88.6,170,160,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split101_positive_only_nn_policy0/train/lift_mg_mg_sparse_split101_positive_only_nn_policy0_official_bc_rnn/20260625103512/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split101_positive_only_nn_policy0/eval/metrics.csv
101,triage_bc,v01_method,0.720,36,50,67.2,301,291,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split101_triage_bc_policy0/train/lift_mg_mg_sparse_split101_triage_bc_policy0_official_bc_rnn/20260625155730/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split101_triage_bc_policy0/eval/metrics.csv
202,weighted_bc,v02_selected,0.600,30,50,96.9,1430,1420,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split202_weighted_bc_policy0/train_weighted_sampler/lift_mg_mg_sparse_split202_weighted_bc_policy0_official_bc_rnn_weighted_sampler/20260625104501/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split202_weighted_bc_policy0/eval/metrics.csv
202,positive_only_nn,strong_baseline,0.500,25,50,91.7,170,160,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split202_positive_only_nn_policy0/train/lift_mg_mg_sparse_split202_positive_only_nn_policy0_official_bc_rnn/20260625105310/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split202_positive_only_nn_policy0/eval/metrics.csv
202,triage_bc,v01_method,0.680,34,50,73.4,231,221,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split202_triage_bc_policy0/train/lift_mg_mg_sparse_split202_triage_bc_policy0_official_bc_rnn/20260625161811/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split202_triage_bc_policy0/eval/metrics.csv
303,weighted_bc,v02_selected,0.380,19,50,111.4,1430,1420,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split303_weighted_bc_policy0/train_weighted_sampler/lift_mg_mg_sparse_split303_weighted_bc_policy0_official_bc_rnn_weighted_sampler/20260625105949/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split303_weighted_bc_policy0/eval/metrics.csv
303,positive_only_nn,strong_baseline,0.420,21,50,106.9,170,160,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split303_positive_only_nn_policy0/train/lift_mg_mg_sparse_split303_positive_only_nn_policy0_official_bc_rnn/20260625110656/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split303_positive_only_nn_policy0/eval/metrics.csv
303,triage_bc,v01_method,0.400,20,50,108.7,385,375,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split303_triage_bc_policy0/train/lift_mg_mg_sparse_split303_triage_bc_policy0_official_bc_rnn/20260625163152/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split303_triage_bc_policy0/eval/metrics.csv
404,weighted_bc,v02_selected,0.600,30,50,85.7,1430,1420,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split404_weighted_bc_policy0/train/lift_mg_mg_sparse_split404_weighted_bc_policy0_official_bc_rnn/20260625150711/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split404_weighted_bc_policy0/eval/metrics.csv
404,positive_only_nn,strong_baseline,0.500,25,50,89.8,170,160,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split404_positive_only_nn_policy0/train/lift_mg_mg_sparse_split404_positive_only_nn_policy0_official_bc_rnn/20260625151340/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split404_positive_only_nn_policy0/eval/metrics.csv
404,triage_bc,v01_method,0.580,29,50,87.5,219,209,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split404_triage_bc_policy0/train/lift_mg_mg_sparse_split404_triage_bc_policy0_official_bc_rnn/20260625164538/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split404_triage_bc_policy0/eval/metrics.csv
505,weighted_bc,v02_selected,0.660,33,50,81.8,1430,1420,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split505_weighted_bc_policy0/train/lift_mg_mg_sparse_split505_weighted_bc_policy0_official_bc_rnn/20260625152032/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split505_weighted_bc_policy0/eval/metrics.csv
505,positive_only_nn,strong_baseline,0.520,26,50,88.3,170,160,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split505_positive_only_nn_policy0/train/lift_mg_mg_sparse_split505_positive_only_nn_policy0_official_bc_rnn/20260625152659/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split505_positive_only_nn_policy0/eval/metrics.csv
505,triage_bc,v01_method,0.480,24,50,95.0,215,205,/home/eston/tri-piql/results/final_paper_v02/per_seed/lift_mg_mg_sparse_split505_triage_bc_policy0/train/lift_mg_mg_sparse_split505_triage_bc_policy0_official_bc_rnn/20260625165231/models/model_epoch_200.pth,results/final_paper_v02/per_seed/lift_mg_mg_sparse_split505_triage_bc_policy0/eval/metrics.csv
