seed,bad_frac,method,success_rate,trap_rate,avg_return,avg_len
0,0.25,bc_positive,0.0,0.0,-0.18000000715255737,18.0
0,0.25,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
0,0.25,bc_all,0.0,1.0,-1.090000033378601,9.0
0,0.25,weighted_bc,1.0,0.0,0.8799999952316284,12.0
0,0.25,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
0,0.25,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
1,0.25,bc_positive,0.0,0.0,-0.18000000715255737,18.0
1,0.25,bc_pos_unlabeled,1.0,0.0,0.8799999952316284,12.0
1,0.25,bc_all,0.0,1.0,-1.090000033378601,9.0
1,0.25,weighted_bc,1.0,0.0,0.8799999952316284,12.0
1,0.25,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
1,0.25,tri_piql_greedy_q_diagnostic,1.0,0.0,0.8799999952316284,12.0
2,0.25,bc_positive,0.0,0.0,-0.18000000715255737,18.0
2,0.25,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
2,0.25,bc_all,0.0,1.0,-1.090000033378601,9.0
2,0.25,weighted_bc,1.0,0.0,0.8799999952316284,12.0
2,0.25,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
2,0.25,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
0,0.5,bc_positive,0.0,0.0,-0.18000000715255737,18.0
0,0.5,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
0,0.5,bc_all,0.0,1.0,-1.090000033378601,9.0
0,0.5,weighted_bc,1.0,0.0,0.8799999952316284,12.0
0,0.5,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
0,0.5,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
1,0.5,bc_positive,0.0,0.0,-0.18000000715255737,18.0
1,0.5,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
1,0.5,bc_all,0.0,1.0,-1.090000033378601,9.0
1,0.5,weighted_bc,1.0,0.0,0.8799999952316284,12.0
1,0.5,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
1,0.5,tri_piql_greedy_q_diagnostic,1.0,0.0,0.8799999952316284,12.0
2,0.5,bc_positive,0.0,0.0,-0.18000000715255737,18.0
2,0.5,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
2,0.5,bc_all,0.0,1.0,-1.090000033378601,9.0
2,0.5,weighted_bc,1.0,0.0,0.8799999952316284,12.0
2,0.5,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
2,0.5,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
0,0.75,bc_positive,0.0,0.0,-0.18000000715255737,18.0
0,0.75,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
0,0.75,bc_all,0.0,1.0,-1.090000033378601,9.0
0,0.75,weighted_bc,1.0,0.0,0.8799999952316284,12.0
0,0.75,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
0,0.75,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
1,0.75,bc_positive,0.0,0.0,-0.18000000715255737,18.0
1,0.75,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
1,0.75,bc_all,0.0,1.0,-1.090000033378601,9.0
1,0.75,weighted_bc,1.0,0.0,0.8799999952316284,12.0
1,0.75,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
1,0.75,tri_piql_greedy_q_diagnostic,1.0,0.0,0.8799999952316284,12.0
2,0.75,bc_positive,0.0,0.0,-0.18000000715255737,18.0
2,0.75,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
2,0.75,bc_all,0.0,1.0,-1.090000033378601,9.0
2,0.75,weighted_bc,1.0,0.0,0.8799999952316284,12.0
2,0.75,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
2,0.75,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
0,0.9,bc_positive,0.0,0.0,-0.18000000715255737,18.0
0,0.9,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
0,0.9,bc_all,0.0,1.0,-1.090000033378601,9.0
0,0.9,weighted_bc,1.0,0.0,0.8799999952316284,12.0
0,0.9,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
0,0.9,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
1,0.9,bc_positive,0.0,0.0,-0.18000000715255737,18.0
1,0.9,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
1,0.9,bc_all,0.0,1.0,-1.090000033378601,9.0
1,0.9,weighted_bc,1.0,0.0,0.8799999952316284,12.0
1,0.9,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
1,0.9,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
2,0.9,bc_positive,0.0,0.0,-0.18000000715255737,18.0
2,0.9,bc_pos_unlabeled,0.0,1.0,-1.090000033378601,9.0
2,0.9,bc_all,0.0,1.0,-1.090000033378601,9.0
2,0.9,weighted_bc,1.0,0.0,0.8799999952316284,12.0
2,0.9,tri_piql_awbc,1.0,0.0,0.8799999952316284,12.0
2,0.9,tri_piql_greedy_q_diagnostic,0.0,0.0,-0.18000000715255737,18.0
