benchmark,split,seeds,method,selected_unlabeled_mean,hidden_positive_mean,hidden_bad_mean,purity,success_5k,success_10k,success_15k,success_20k,best_per_seed_mean,claim_status,source
robomimic_can_paired,80p80b,3,coverage_aware_score_gap,61.3,59.0,2.3,0.962,0.133,0.800,0.867,0.900,,paper_facing,results/robomimic_official_bc_rnn_gap_min40_3seed_summary/REPORT.md
robomimic_can_paired,80p80b,3,fixed_top80,80.0,72.0,8.0,0.900,0.233,0.700,0.733,0.833,,control,results/robomimic_official_bc_rnn_gap_min40_3seed_summary/REPORT.md
robomimic_can_paired,20p80b,3,top20_precision,20.0,15.0,5.0,0.750,0.000,0.367,0.433,0.667,,paper_facing_stress,results/robomimic_official_bc_rnn_top20_stress_p20_b80_3seed_summary/REPORT.md
robomimic_can_paired,20p80b,3,posx4_coverage_gap,52.3,20.0,32.3,0.382,0.067,0.267,0.300,0.333,,control,results/robomimic_official_bc_rnn_top20_stress_p20_b80_3seed_summary/REPORT.md
robomimic_can_paired,20p80b,3,fixed_top80,80.0,20.0,60.0,0.250,0.067,0.233,0.167,0.233,,control,results/robomimic_official_bc_rnn_top20_stress_p20_b80_3seed_summary/REPORT.md
robomimic_can_paired,40p80b,3,mass_capped_adaptive,50.0,36.3,13.7,0.728,0.167,0.500,0.733,0.733,0.767,paper_facing_intermediate,results/robomimic_official_bc_rnn_pos40_bad80_3seed_summary/REPORT.md
robomimic_can_paired,40p80b,3,classifier_probability_weighted_sampler,120.0,40.0,80.0,0.333,0.267,0.600,0.700,0.567,0.700,strong_baseline,results/robomimic_official_bc_rnn_pos40_bad80_3seed_summary/REPORT.md
robomimic_can_paired,40p80b,3,coverage_gap,74.0,40.0,34.0,0.541,0.167,0.333,0.567,0.600,0.667,control,results/robomimic_official_bc_rnn_pos40_bad80_3seed_summary/REPORT.md
robomimic_can_paired,40p80b,3,top20_precision,20.0,19.7,0.3,0.983,0.033,0.567,0.667,0.700,0.700,control,results/robomimic_official_bc_rnn_pos40_bad80_3seed_summary/REPORT.md
robomimic_can_paired,40p80b,3,positive_only_nn_top40,40.0,31.0,9.0,0.775,0.167,0.433,0.533,0.633,0.767,no_bad_label_control,results/robomimic_official_bc_rnn_pos40_bad80_3seed_summary/REPORT.md
robomimic_lift_mg,mg_sparse,3,pos_min_calibrated_threshold,237.3,205.0,32.3,0.864,0.133,0.267,0.533,0.667,0.700,paper_facing_transfer,results/robomimic_lift_mg_official_bc_rnn_controls_3seed_summary/REPORT.md
robomimic_lift_mg,mg_sparse,3,positive_only_nn_top160,160.0,126.0,34.0,0.787,0.400,0.300,0.333,0.567,0.567,no_bad_label_control,results/robomimic_lift_mg_posonly_nn_top160_3seed_summary/REPORT.md
robomimic_lift_mg,mg_sparse,3,classifier_probability_weighted_sampler,1420.0,276.0,1144.0,0.194,0.067,0.300,0.500,0.533,0.633,strong_baseline,results/robomimic_lift_mg_official_bc_rnn_controls_3seed_summary/REPORT.md
robomimic_lift_mg,mg_sparse,3,all_train_positives,276.0,276.0,0.0,1.000,0.167,0.433,0.700,0.633,0.733,oracle_support,results/robomimic_lift_mg_official_bc_rnn_controls_3seed_summary/REPORT.md
robomimic_lift_mg,mg_sparse,3,all_train_demos,1420.0,276.0,1144.0,0.194,0.067,0.033,0.167,0.200,0.267,negative_control,results/robomimic_lift_mg_official_bc_rnn_controls_3seed_summary/REPORT.md
robomimic_can_mg,mg_sparse,1,top160_selected_support,160.0,113.0,47.0,0.706,0.000,0.100,0.100,0.000,0.100,diagnostic_seed0,results/robomimic_can_mg_official_bc_rnn_seed0_summary/REPORT.md
robomimic_can_mg,mg_sparse,3,classifier_probability_weighted_sampler,3840.0,688.0,3152.0,0.179,0.000,0.133,0.200,0.333,0.367,diagnostic_soft_control,results/robomimic_can_mg_official_bc_rnn_controls_3seed_summary/REPORT.md
robomimic_can_mg,mg_sparse,3,all_train_positives,688.0,688.0,0.0,1.000,0.000,0.033,0.133,0.200,0.233,oracle_support,results/robomimic_can_mg_official_bc_rnn_controls_3seed_summary/REPORT.md
robomimic_can_mg,mg_sparse,3,all_train_demos,3840.0,688.0,3152.0,0.179,0.000,0.000,0.200,0.100,0.233,negative_control,results/robomimic_can_mg_official_bc_rnn_controls_3seed_summary/REPORT.md
robomimic_can_mg,mg_sparse,3,pos_p10_calibrated_threshold,773.0,416.0,357.0,0.538,0.000,0.000,0.100,0.167,0.167,diagnostic_hard_control,results/robomimic_can_mg_official_bc_rnn_controls_3seed_summary/REPORT.md
